GEO.id,fipstext,state,county,highschool,bachelor
0500000US01007,1007,AL,Bibb County,41.8,12
0500000US01009,1009,AL,Blount County,32.9,13.1
0500000US01021,1021,AL,Chilton County,41.3,14.9
0500000US01073,1073,AL,Jefferson County,26.5,31.4
0500000US01115,1115,AL,St. Clair County,36.1,16.1
0500000US01117,1117,AL,Shelby County,21,41.4
0500000US01127,1127,AL,Walker County,36.6,10.5
0500000US04013,4013,AZ,Maricopa County,22.9,31
0500000US04021,4021,AZ,Pinal County,29.2,18.5
0500000US05035,5035,AR,Crittenden County,35.6,17.4
0500000US06001,6001,CA,Alameda County,18,43.9
0500000US06013,6013,CA,Contra Costa County,18.2,40.3
0500000US06017,6017,CA,El Dorado County,21.8,33
0500000US06037,6037,CA,Los Angeles County,20.7,30.8
0500000US06041,6041,CA,Marin County,11.3,57.1
0500000US06059,6059,CA,Orange County,17.4,38.4
0500000US06061,6061,CA,Placer County,19.2,36.9
0500000US06065,6065,CA,Riverside County,25.9,21.2
0500000US06067,6067,CA,Sacramento County,22.4,29.3
0500000US06069,6069,CA,San Benito County,24.6,19
0500000US06071,6071,CA,San Bernardino County,26.2,19.3
0500000US06073,6073,CA,San Diego County,18.8,36.5
0500000US06075,6075,CA,San Francisco County,12.5,54.8
0500000US06081,6081,CA,San Mateo County,15.9,47.1
0500000US06085,6085,CA,Santa Clara County,14.8,49.1
0500000US06113,6113,CA,Yolo County,19.2,40
0500000US08001,8001,CO,Adams County,28.5,22.4
0500000US08005,8005,CO,Arapahoe County,20.6,40.7
0500000US08014,8014,CO,Broomfield County,15,52.5
0500000US08019,8019,CO,Clear Creek County,20.3,44.6
0500000US08031,8031,CO,Denver County,17.6,45.7
0500000US08035,8035,CO,Douglas County,12.3,57.5
0500000US08039,8039,CO,Elbert County,26.1,32.8
0500000US08047,8047,CO,Gilpin County,24.3,34.4
0500000US08059,8059,CO,Jefferson County,20.9,42.2
0500000US08093,8093,CO,Park County,26,30.5
0500000US09003,9003,CT,Hartford County,27.2,36.9
0500000US09007,9007,CT,Middlesex County,27.2,40.9
0500000US09013,9013,CT,Tolland County,27.1,38.9
0500000US10003,10003,DE,New Castle County,28.9,35.4
0500000US11001,11001,DC,District of Columbia,18,55.4
0500000US12003,12003,FL,Baker County,41.5,12.8
0500000US12011,12011,FL,Broward County,27.3,31
0500000US12019,12019,FL,Clay County,30.7,23.9
0500000US12031,12031,FL,Duval County,28,28.1
0500000US12053,12053,FL,Hernando County,36.6,16.4
0500000US12057,12057,FL,Hillsborough County,27.2,31.4
0500000US12069,12069,FL,Lake County,33.5,21.7
