GEO.id,fipstext,state,county,poverty
0500000US01001,01001,AL,Autauga County,7444
0500000US01003,01003,AL,Baldwin County,24005
0500000US01005,01005,AL,Barbour County,6787
0500000US01007,01007,AL,Bibb County,4099
0500000US01009,01009,AL,Blount County,8033
0500000US01011,01011,AL,Bullock County,2841
0500000US01013,01013,AL,Butler County,4880
0500000US01015,01015,AL,Calhoun County,19057
0500000US01017,01017,AL,Chambers County,6656
0500000US01019,01019,AL,Cherokee County,4273
0500000US01021,01021,AL,Chilton County,7960
0500000US01023,01023,AL,Choctaw County,2910
0500000US01025,01025,AL,Clarke County,6977
0500000US01027,01027,AL,Clay County,2495
0500000US01029,01029,AL,Cleburne County,2527
0500000US01031,01031,AL,Coffee County,7271
0500000US01033,01033,AL,Colbert County,8982
0500000US01035,01035,AL,Conecuh County,3464
0500000US01037,01037,AL,Coosa County,1801
0500000US01039,01039,AL,Covington County,7228
0500000US01041,01041,AL,Crenshaw County,2822
0500000US01043,01043,AL,Cullman County,12133
0500000US01045,01045,AL,Dale County,9936
0500000US01047,01047,AL,Dallas County,13987
0500000US01049,01049,AL,DeKalb County,14362
0500000US01051,01051,AL,Elmore County,10316
0500000US01053,01053,AL,Escambia County,8020
0500000US01055,01055,AL,Etowah County,17624
0500000US01057,01057,AL,Fayette County,3307
0500000US01059,01059,AL,Franklin County,6272
0500000US01061,01061,AL,Geneva County,5495
0500000US01063,01063,AL,Greene County,2845
0500000US01065,01065,AL,Hale County,3495
0500000US01067,01067,AL,Henry County,3159
0500000US01069,01069,AL,Houston County,19878
0500000US01071,01071,AL,Jackson County,9007
0500000US01073,01073,AL,Jefferson County,98463
0500000US01075,01075,AL,Lamar County,2545
0500000US01077,01077,AL,Lauderdale County,13739
0500000US01079,01079,AL,Lawrence County,5530
0500000US01081,01081,AL,Lee County,28139
0500000US01083,01083,AL,Limestone County,11511
0500000US01085,01085,AL,Lowndes County,3252
0500000US01087,01087,AL,Macon County,5183
0500000US01089,01089,AL,Madison County,47081
0500000US01091,01091,AL,Marengo County,5003
0500000US01093,01093,AL,Marion County,5386
0500000US01095,01095,AL,Marshall County,19703
0500000US01097,01097,AL,Mobile County,79364
0500000US01099,01099,AL,Monroe County,5472
0500000US01101,01101,AL,Montgomery County,40760
0500000US01103,01103,AL,Morgan County,18457
0500000US01105,01105,AL,Perry County,3066
0500000US01107,01107,AL,Pickens County,4756
0500000US01109,01109,AL,Pike County,7793
0500000US01111,01111,AL,Randolph County,4839
0500000US01113,01113,AL,Russell County,11108
0500000US01115,01115,AL,St. Clair County,10352
0500000US01117,01117,AL,Shelby County,16406
0500000US01119,01119,AL,Sumter County,3933
0500000US01121,01121,AL,Talladega County,13864
0500000US01123,01123,AL,Tallapoosa County,8111
0500000US01125,01125,AL,Tuscaloosa County,34384
0500000US01127,01127,AL,Walker County,13097
0500000US01129,01129,AL,Washington County,3018
0500000US01131,01131,AL,Wilcox County,3466
0500000US01133,01133,AL,Winston County,4061
0500000US02013,02013,AK,Aleutians East Borough,487
0500000US02016,02016,AK,Aleutians West Census Area,438
0500000US02020,02020,AK,Anchorage Borough,21108
0500000US02050,02050,AK,Bethel Census Area,4502
0500000US02060,02060,AK,Bristol Bay Borough,100
0500000US02068,02068,AK,Denali Borough,121
0500000US02070,02070,AK,Dillingham Census Area,965
0500000US02090,02090,AK,Fairbanks North Star Borough,8144
0500000US02100,02100,AK,Haines Borough,257
